passion,https://www.wikidata.org/wiki/Special:EntityPage/Q335046,
high society,,
humour,https://en.wikipedia.org/wiki/Humour#India,
metaphysical,https://www.wikidata.org/wiki/Special:EntityPage/Q25335951,
tragedy,,
inner life,,
Diary,https://www.wikidata.org/wiki/Special:EntityPage/Q18939550,
Buddha,https://www.wikidata.org/wiki/Special:EntityPage/Q9441,
Krishna,https://www.wikidata.org/wiki/Special:EntityPage/Q42891,
anthropology,,
estrangement,,
tradition vs modernity,,
jewish culture,,
domestic violence,https://www.wikidata.org/wiki/Special:EntityPage/Q156537,
spiritual,,
children,,
film industry,,
tradition,,
urban,,
patriarchy,https://www.wikidata.org/wiki/Special:EntityPage/Q181339,
upliftment,,
oppression,,
parenthood,,
trends,,
feud,,
matang community,https://www.wikidata.org/wiki/Special:EntityPage/Q6748570,
prison,,
relationships,,
bildungsroman,https://www.wikidata.org/wiki/Special:EntityPage/Q223945,
urban,,
legend,https://www.wikidata.org/wiki/Special:EntityPage/Q44342,
yoga,https://www.wikidata.org/wiki/Special:EntityPage/Q9350,
stream of consciousness,https://www.wikidata.org/wiki/Special:EntityPage/Q3284176,
uprising,,
fantasy,https://www.wikidata.org/wiki/Special:EntityPage/Q1057172,
art,,
race,https://www.wikidata.org/wiki/Special:EntityPage/Q3254959,
sati,https://www.wikidata.org/wiki/Special:EntityPage/Q208088,
adventure,https://www.wikidata.org/wiki/Special:EntityPage/Q21802675,
freudian,,
Mughal,https://www.wikidata.org/wiki/Special:EntityPage/Q33296,
feminism,https://www.wikidata.org/wiki/Special:EntityPage/Q26987750,
feudal,,
adolescence,https://www.wikidata.org/wiki/Special:EntityPage/Q131774,
corruption,https://www.wikidata.org/wiki/Special:EntityPage/Q366,
psychoanalysis,https://www.wikidata.org/wiki/Special:EntityPage/Q15282905,
fragmentation,,
meditation,,
biography,https://www.wikidata.org/wiki/Special:EntityPage/Q36279,
identity,,
moral,,
dalit,https://www.wikidata.org/wiki/Special:EntityPage/Q219517,
modernity,https://www.wikidata.org/wiki/Special:EntityPage/Q11084414,
mining,https://www.wikidata.org/wiki/Special:EntityPage/Q44497,
industrialization,https://www.wikidata.org/wiki/Special:EntityPage/Q202398,
contemporary,,
education,,
superstition,https://www.wikidata.org/wiki/Special:EntityPage/Q133182,
lust,,
medical,https://en.wikipedia.org/wiki/Disease_in_fiction,
social movement,,
homelessness,https://www.wikidata.org/wiki/Special:EntityPage/Q131327,
globalization,https://www.wikidata.org/wiki/Special:EntityPage/Q7181,
prejudice,,
British,,
sexuality,https://www.wikidata.org/wiki/Special:EntityPage/Q154136,
family drama,,
Rajput,https://www.wikidata.org/wiki/Special:EntityPage/Q337487,
magic,https://www.wikidata.org/wiki/Special:EntityPage/Q81741,
melodrama,https://www.wikidata.org/wiki/Special:EntityPage/Q191489,
Oedipus complex,https://www.wikidata.org/wiki/Special:EntityPage/Q131246,
kingdoms,https://www.wikidata.org/wiki/Special:EntityPage/Q7269,
West vs East,,
class warfare,https://www.wikidata.org/wiki/Special:EntityPage/Q1744607,
longing,,
homecoming,,
celebrity,,
lifestyle,,
domesticity,,
diaspora,https://www.wikidata.org/wiki/Special:EntityPage/Q133004,
justice,,
machiavellian,,
injustice,,
army,,
blackness,,
slavery,https://www.wikidata.org/wiki/Special:EntityPage/Q8463,
drama,,
satire,https://www.wikidata.org/wiki/Special:EntityPage/Q128758,
three-act,,
postcolonial,https://www.wikidata.org/wiki/Special:EntityPage/Q265425,
Modernism,https://www.wikidata.org/wiki/Special:EntityPage/Q971480,
Existentialism,https://www.wikidata.org/wiki/Special:EntityPage/Q38066,
Marxism,,
